PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
38,32.5950038,129.3001312,0.22,-306.869,34.06,1,4929,34,90
39,32.5950038,129.3001351,0.22,-306.869,35.06,1,4929,34,90
40,32.5950038,129.3001389,0.22,-306.869,36.06,1,4929,34,90
41,32.5950038,129.3001428,0.22,-306.869,37.06,1,4929,34,90
42,32.5950038,129.3001466,0.22,-306.869,38.06,1,4929,34,90
43,32.5950038,129.3001505,0.22,-306.869,39.06,1,4929,34,90
44,32.5950038,129.3001543,0.22,-306.869,40.06,1,4929,34,90
45,32.5950038,129.3001582,0.22,-306.869,41.06,1,4929,34,90
46,32.5950038,129.300162,0.22,-306.869,42.06,1,4929,34,90
47,32.5950038,129.3001659,0.22,-306.869,43.06,1,4929,34,90
48,32.5950038,129.3001697,0.22,-306.869,44.06,1,4929,34,90
49,32.5950038,129.3001736,0.22,-306.869,45.06,1,4929,34,90
50,32.5950038,129.3001774,0.22,-306.869,46.06,1,4929,34,90
51,32.5950038,129.3001813,0.22,-306.869,47.06,1,4929,34,90
52,32.5950038,129.3001851,0.22,-306.869,48.06,1,4929,34,90
53,32.5950038,129.300189,0.22,-306.869,49.06,1,4929,34,90
54,32.5950038,129.3001929,0.22,-306.869,50.06,1,4929,34,90
55,32.5950038,129.3001967,0.22,-306.869,51.06,1,4929,34,90
56,32.5950038,129.3002006,0.22,-306.869,52.06,1,4929,34,90
57,32.5950038,129.3002044,0.22,-306.869,53.06,1,4929,34,90
58,32.5950038,129.3002083,0.22,-306.869,54.06,1,4929,34,90
59,32.5950038,129.3002121,0.22,-306.869,55.06,1,4929,34,90
60,32.5950038,129.300216,0.22,-306.869,56.06,1,4929,34,90
61,32.5950038,129.3002198,0.22,-306.869,57.06,1,4929,34,90
62,32.5950038,129.3002237,0.22,-306.869,58.06,1,4929,34,90
63,32.5950038,129.3002275,0.22,-306.869,59.06,1,4929,34,90
64,32.5950038,129.3002314,0.22,-306.869,60.06,1,4929,34,90
65,32.5950038,129.3002352,0.22,-306.869,61.06,1,4929,34,90
66,32.5950038,129.3002391,0.22,-306.869,62.06,1,4929,34,90
67,32.5950038,129.3002429,0.22,-306.869,63.06,1,4929,34,90
68,32.5950038,129.3002468,0.22,-306.869,64.06,1,4929,34,90
69,32.5950038,129.3002506,0.22,-306.869,65.06,1,4929,34,90
70,32.5950038,129.3002545,0.22,-306.869,66.06,1,4929,34,90
71,32.5950038,129.3002583,0.22,-306.869,67.06,1,4929,34,90
72,32.5950038,129.3002622,0.22,-306.869,68.06,1,4929,34,90
73,32.5950038,129.3002661,0.22,-306.869,69.06,1,4929,34,90
74,32.5950038,129.3002699,0.22,-306.869,70.06,1,4929,34,90
75,32.5950038,129.3002738,0.22,-306.869,71.06,1,4929,34,90
76,32.5950038,129.3002776,0.22,-306.869,72.06,1,4929,34,90
77,32.5950038,129.3002815,0.22,-306.869,73.06,1,4929,34,90
78,32.5950038,129.3002853,0.22,-306.869,74.06,1,4929,34,90
79,32.5950038,129.3002892,0.22,-306.869,75.06,1,4929,34,90
80,32.5950038,129.300293,0.22,-306.869,76.06,1,4929,34,90
81,32.5950038,129.3002969,0.22,-306.869,77.06,1,4929,34,90
82,32.5950038,129.3003007,0.22,-306.869,78.06,1,4929,34,90
83,32.5950038,129.3003046,0.22,-306.869,79.06,1,4929,34,90
84,32.5950038,129.3003084,0.22,-306.869,80.06,1,4929,34,90
85,32.5950038,129.3003123,0.22,-306.869,81.06,1,4929,34,90
86,32.5950038,129.3003161,0.22,-306.869,82.06,1,4929,34,90
87,32.5950038,129.30032,0.22,-306.869,83.06,1,4929,34,90
88,32.5950038,129.3003238,0.22,-306.869,84.06,1,4929,34,90
89,32.5950038,129.3003277,0.22,-306.869,85.06,1,4929,34,90
90,32.5950038,129.3003315,0.22,-306.869,86.06,1,4929,34,90
91,32.5950038,129.3003354,0.22,-306.869,87.06,1,4929,34,90
92,32.5950038,129.3003392,0.22,-306.869,88.06,1,4929,34,90
93,32.5950038,129.3003431,0.22,-306.869,89.06,1,4929,34,90
94,32.5950038,129.300347,0.22,-306.869,90.06,1,4929,34,90
95,32.5950038,129.3003508,0.22,-306.869,91.06,1,4929,34,90
96,32.5950038,129.3003547,0.22,-306.869,92.06,1,4929,34,90
97,32.5950038,129.3003585,0.22,-306.869,93.06,1,4929,34,90
98,32.5950038,129.3003624,0.22,-306.869,94.06,1,4929,34,90
99,32.5950038,129.3003662,0.22,-306.869,95.06,1,4929,34,90
100,32.5950038,129.3003701,0.22,-306.869,96.06,1,4929,34,90
101,32.5950038,129.3003739,0.22,-306.869,97.06,1,4929,34,90
102,32.5950038,129.3003778,0.22,-306.869,98.06,1,4929,34,90
103,32.5950038,129.3003816,0.22,-306.869,99.06,1,4929,34,90
104,32.5950038,129.3003855,0.22,-306.869,100.06,1,4929,34,90
105,32.5950038,129.3003893,0.22,-306.869,101.06,1,4929,34,90
106,32.5950038,129.3003932,0.22,-306.869,102.06,1,4929,34,90
107,32.5950038,129.300397,0.22,-306.869,103.06,1,4929,34,90
108,32.5950038,129.3004009,0.22,-306.869,104.06,1,4929,34,90
109,32.5950038,129.3004047,0.22,-306.869,105.06,1,4929,34,90
110,32.5950038,129.3004086,0.22,-306.869,106.06,1,4929,34,90
111,32.5950038,129.3004124,0.22,-306.869,107.06,1,4929,34,90
112,32.5950038,129.3004163,0.22,-306.869,108.06,1,4929,34,90
113,32.5950038,129.3004201,0.22,-306.869,109.06,1,4929,34,90
114,32.5950038,129.300424,0.22,-306.869,110.06,1,4929,34,90
115,32.5950038,129.3004279,0.22,-306.869,111.06,1,4929,34,90
116,32.5950038,129.3004317,0.22,-306.869,112.06,1,4929,34,90
117,32.5950038,129.3004356,0.22,-306.869,113.06,1,4929,34,90
118,32.5950038,129.3004394,0.22,-306.869,114.06,1,4929,34,90
119,32.5950038,129.3004433,0.22,-306.869,115.06,1,4929,34,90
120,32.5950038,129.3004471,0.22,-306.869,116.06,1,4929,34,90
121,32.5950038,129.300451,0.22,-306.869,117.06,1,4929,34,90
122,32.5950038,129.3004548,0.22,-306.869,118.06,1,4929,34,90
123,32.5950038,129.3004587,0.22,-306.869,119.06,1,4929,34,90
124,32.5950038,129.3004625,0.22,-306.869,120.06,1,4929,34,90
125,32.5950038,129.3004664,0.22,-306.869,121.06,1,4929,34,90
126,32.5950038,129.3004702,0.22,-306.869,122.06,1,4929,34,90
127,32.5950038,129.3004741,0.22,-306.869,123.06,1,4929,34,90
128,32.5950038,129.3004779,0.22,-306.869,124.06,1,4929,34,90
129,32.5950038,129.3004818,0.22,-306.869,125.06,1,4929,34,90
130,32.5950038,129.3004856,0.22,-306.869,126.06,1,4929,34,90
131,32.5950038,129.3004895,0.22,-306.869,127.06,1,4929,34,90
132,32.5950038,129.3004933,0.22,-306.869,128.06,1,4929,34,90
133,32.5950038,129.3004972,0.22,-306.869,129.06,1,4929,34,90
134,32.5950038,129.3005011,0.22,-306.869,130.06,1,4929,34,90
135,32.5950038,129.3005049,0.22,-306.869,131.06,1,4929,34,90
136,32.5950038,129.3005088,0.22,-306.869,132.06,1,4929,34,90
137,32.5950038,129.3005126,0.22,-306.869,133.06,1,4929,34,90
138,32.5950038,129.3005165,0.22,-306.869,134.06,1,4929,34,90
139,32.5950038,129.3005203,0.22,-306.869,135.06,1,4929,34,90
140,32.5950038,129.3005242,0.22,-306.869,136.06,1,4929,34,90
141,32.5950038,129.300528,0.22,-306.869,137.06,1,4929,34,90
142,32.5950038,129.3005319,0.22,-306.869,138.06,1,4929,34,90
143,32.5950038,129.3005357,0.22,-306.869,139.06,1,4929,34,90
144,32.5950038,129.3005396,0.22,-306.869,140.06,1,4929,34,90
145,32.5950038,129.3005434,0.22,-306.869,141.06,1,4929,34,90
146,32.5950038,129.3005473,0.22,-306.869,142.06,1,4929,34,90
147,32.5950038,129.3005511,0.22,-306.869,143.06,1,4929,34,90
148,32.5950038,129.300555,0.22,-306.869,144.06,1,4929,34,90
149,32.5950038,129.3005588,0.22,-306.869,145.06,1,4929,34,90
150,32.5950038,129.3005627,0.22,-306.869,146.06,1,4929,34,90
151,32.5950038,129.3005665,0.22,-306.869,147.06,1,4929,34,90
152,32.5950038,129.3005704,0.22,-306.869,148.06,1,4929,34,90
153,32.5950038,129.3005742,0.22,-306.869,149.06,1,4929,34,90
154,32.5950038,129.3005781,0.22,-306.869,150.06,1,4929,34,90
155,32.5950038,129.300582,0.22,-306.869,151.06,1,4929,34,90
156,32.5950038,129.3005858,0.22,-306.869,152.06,1,4929,34,90
157,32.5950038,129.3005897,0.22,-306.869,153.06,1,4929,34,90
158,32.5950038,129.3005935,0.22,-306.869,154.06,1,4929,34,90
159,32.5950038,129.3005974,0.22,-306.869,155.06,1,4929,34,90
160,32.5950038,129.3006012,0.22,-306.869,156.06,1,4929,34,90
161,32.5950038,129.3006051,0.22,-306.869,157.06,1,4929,34,90
162,32.5950038,129.3006089,0.22,-306.869,158.06,1,4929,34,90
163,32.5950038,129.3006128,0.22,-306.869,159.06,1,4929,34,90
164,32.5950038,129.3006166,0.22,-306.869,160.06,1,4929,34,90
165,32.5950038,129.3006205,0.22,-306.869,161.06,1,4929,34,90
166,32.5950038,129.3006243,0.22,-306.869,162.06,1,4929,34,90
167,32.5950038,129.3006282,0.22,-306.869,163.06,1,4929,34,90
168,32.5950038,129.300632,0.22,-306.869,164.06,1,4929,34,90
169,32.5950038,129.3006359,0.22,-306.869,165.06,1,4929,34,90
170,32.5950038,129.3006397,0.22,-306.869,166.06,1,4929,34,90
171,32.5950038,129.3006436,0.22,-306.869,167.06,1,4929,34,90
172,32.5950038,129.3006474,0.22,-306.869,168.06,1,4929,34,90
173,32.5950038,129.3006513,0.22,-306.869,169.06,1,4929,34,90
174,32.5950038,129.3006551,0.22,-306.869,170.06,1,4929,34,90
175,32.5950038,129.300659,0.22,-306.869,171.06,1,4929,34,90
176,32.5950038,129.3006629,0.22,-306.869,172.06,1,4929,34,90
177,32.5950038,129.3006667,0.22,-306.869,173.06,1,4929,34,90
178,32.5950038,129.3006706,0.22,-306.869,174.06,1,4929,34,90
179,32.5950038,129.3006744,0.22,-306.869,175.06,1,4929,34,90
180,32.5950038,129.3006783,0.22,-306.869,176.06,1,4929,34,90
181,32.5950038,129.3006821,0.22,-306.869,177.06,1,4929,34,90
182,32.5950038,129.300686,0.22,-306.869,178.06,1,4929,34,90
183,32.5950038,129.3006898,0.22,-306.869,179.06,1,4929,34,90
184,32.5950038,129.3006937,0.22,-306.869,180.06,1,4929,34,90
185,32.5950038,129.3006975,0.22,-306.869,181.06,1,4929,34,90
186,32.5950038,129.3007008,0.22,-306.869,181.902,1,4929,34,90
187,32.5950038,129.3007043,0.22,-306.85,182.828,1,4929,34,90
188,32.595004,129.3007082,0.22,-306.79,183.828,1,4929,34,90
189,32.5950047,129.3007119,0.22,-306.6,184.783,1,4929,34,90
190,32.5950053,129.3007147,0.22,-306.398,185.528,1,4929,34,90
191,32.5950062,129.3007182,0.22,-306.137,186.418,1,4929,34,90
192,32.5950074,129.300722,0.22,-305.771,187.404,1,4929,34,90
193,32.5950095,129.3007261,0.22,-305.124,188.466,1,4929,34,90
194,32.5950117,129.3007301,0.22,-304.442,189.515,1,4929,34,90
195,32.5950135,129.3007331,0.22,-303.89,190.282,1,4929,34,90
196,32.595016,129.3007361,0.22,-303.122,191.076,1,4929,34,90
197,32.5950188,129.3007389,0.22,-302.245,191.812,1,4929,34,90
198,32.5950217,129.3007412,0.22,-301.347,192.391,1,4929,34,90
199,32.5950243,129.3007426,0.22,-300.536,192.755,1,4929,34,90
200,32.5950277,129.3007441,0.22,-299.505,193.16,1,4929,34,90
201,32.5950317,129.300745,0.22,-298.284,193.39,1,4929,34,90
202,32.595035,129.3007455,0.22,-297.242,193.522,1,4929,34,90
203,32.5950383,129.3007458,0.22,-296.224,193.586,1,4929,34,90
204,32.5950416,129.300746,0.22,-295.22,193.649,1,4929,34,90
205,32.5950442,129.3007462,0.22,-294.409,193.682,1,4929,34,90
221,32.5950169,129.300699,0.22,-302.832,181.45,1,4929,34,90
222,32.5950169,129.3006952,0.22,-302.831,180.45,1,4929,34,90
227,32.5950169,129.3006913,0.22,-302.83,179.45,1,4929,34,90
228,32.5950169,129.3006875,0.22,-302.829,178.45,1,4929,34,90
229,32.5950169,129.3006836,0.22,-302.828,177.45,1,4929,34,90
230,32.5950169,129.3006798,0.22,-302.827,176.45,1,4929,34,90
231,32.5950169,129.3006759,0.22,-302.826,175.45,1,4929,34,90
232,32.5950169,129.3006721,0.22,-302.825,174.45,1,4929,34,90
233,32.5950169,129.3006682,0.22,-302.824,173.45,1,4929,34,90
234,32.5950169,129.3006644,0.22,-302.823,172.45,1,4929,34,90
235,32.5950169,129.3006605,0.22,-302.822,171.45,1,4929,34,90
236,32.5950169,129.3006567,0.22,-302.821,170.45,1,4929,34,90
237,32.5950169,129.3006528,0.22,-302.82,169.45,1,4929,34,90
238,32.5950169,129.3006489,0.22,-302.819,168.45,1,4929,34,90
239,32.5950169,129.3006451,0.22,-302.818,167.45,1,4929,34,90
240,32.5950169,129.3006412,0.22,-302.817,166.45,1,4929,34,90
241,32.5950169,129.3006374,0.22,-302.816,165.45,1,4929,34,90
242,32.5950169,129.3006335,0.22,-302.815,164.45,1,4929,34,90
243,32.595017,129.3006297,0.22,-302.814,163.45,1,4929,34,90
244,32.595017,129.3006258,0.22,-302.813,162.45,1,4929,34,90
245,32.595017,129.300622,0.22,-302.812,161.45,1,4929,34,90
246,32.595017,129.3006181,0.22,-302.811,160.45,1,4929,34,90
247,32.595017,129.3006143,0.22,-302.81,159.45,1,4929,34,90
248,32.595017,129.3006104,0.22,-302.809,158.45,1,4929,34,90
249,32.595017,129.3006066,0.22,-302.808,157.45,1,4929,34,90
250,32.595017,129.3006027,0.22,-302.807,156.45,1,4929,34,90
251,32.595017,129.3005989,0.22,-302.806,155.45,1,4929,34,90
252,32.595017,129.300595,0.22,-302.805,154.45,1,4929,34,90
253,32.595017,129.3005912,0.22,-302.804,153.45,1,4929,34,90
254,32.595017,129.3005873,0.22,-302.803,152.45,1,4929,34,90
255,32.595017,129.3005835,0.22,-302.802,151.45,1,4929,34,90
256,32.595017,129.3005796,0.22,-302.801,150.45,1,4929,34,90
257,32.595017,129.3005758,0.22,-302.8,149.45,1,4929,34,90
258,32.595017,129.3005719,0.22,-302.799,148.45,1,4929,34,90
259,32.595017,129.300568,0.22,-302.798,147.45,1,4929,34,90
260,32.595017,129.3005642,0.22,-302.797,146.45,1,4929,34,90
261,32.595017,129.3005603,0.22,-302.796,145.45,1,4929,34,90
262,32.595017,129.3005565,0.22,-302.795,144.45,1,4929,34,90
263,32.595017,129.3005526,0.22,-302.794,143.45,1,4929,34,90
264,32.595017,129.3005488,0.22,-302.793,142.45,1,4929,34,90
265,32.595017,129.3005449,0.22,-302.792,141.45,1,4929,34,90
266,32.595017,129.3005411,0.22,-302.791,140.45,1,4929,34,90
267,32.595017,129.3005372,0.22,-302.79,139.45,1,4929,34,90
268,32.595017,129.3005334,0.22,-302.789,138.45,1,4929,34,90
269,32.595017,129.3005295,0.22,-302.788,137.45,1,4929,34,90
270,32.595017,129.3005257,0.22,-302.787,136.45,1,4929,34,90
271,32.595017,129.3005218,0.22,-302.786,135.45,1,4929,34,90
272,32.595017,129.300518,0.22,-302.785,134.45,1,4929,34,90
273,32.5950171,129.3005141,0.22,-302.784,133.45,1,4929,34,90
274,32.5950171,129.3005103,0.22,-302.783,132.45,1,4929,34,90
275,32.5950171,129.3005064,0.22,-302.782,131.45,1,4929,34,90
276,32.5950171,129.3005026,0.22,-302.781,130.45,1,4929,34,90
277,32.5950171,129.3004987,0.22,-302.78,129.45,1,4929,34,90
278,32.5950171,129.3004948,0.22,-302.779,128.45,1,4929,34,90
279,32.5950171,129.300491,0.22,-302.778,127.45,1,4929,34,90
280,32.5950171,129.3004871,0.22,-302.777,126.45,1,4929,34,90
281,32.5950171,129.3004833,0.22,-302.776,125.45,1,4929,34,90
282,32.5950171,129.3004794,0.22,-302.775,124.45,1,4929,34,90
283,32.5950171,129.3004756,0.22,-302.774,123.45,1,4929,34,90
284,32.5950171,129.3004717,0.22,-302.773,122.45,1,4929,34,90
285,32.5950171,129.3004679,0.22,-302.772,121.45,1,4929,34,90
286,32.5950171,129.300464,0.22,-302.771,120.45,1,4929,34,90
287,32.5950171,129.3004602,0.22,-302.77,119.45,1,4929,34,90
288,32.5950171,129.3004563,0.22,-302.769,118.45,1,4929,34,90
289,32.5950171,129.3004525,0.22,-302.768,117.45,1,4929,34,90
290,32.5950171,129.3004486,0.22,-302.767,116.45,1,4929,34,90
291,32.5950171,129.3004448,0.22,-302.766,115.45,1,4929,34,90
292,32.5950171,129.3004409,0.22,-302.765,114.45,1,4929,34,90
293,32.5950171,129.3004371,0.22,-302.764,113.45,1,4929,34,90
294,32.5950171,129.3004332,0.22,-302.763,112.45,1,4929,34,90
295,32.5950171,129.3004294,0.22,-302.762,111.45,1,4929,34,90
296,32.5950171,129.3004255,0.22,-302.761,110.45,1,4929,34,90
297,32.5950171,129.3004217,0.22,-302.76,109.45,1,4929,34,90
298,32.5950171,129.3004178,0.22,-302.759,108.45,1,4929,34,90
299,32.5950171,129.3004139,0.22,-302.758,107.45,1,4929,34,90
300,32.5950171,129.3004101,0.22,-302.757,106.45,1,4929,34,90
301,32.5950171,129.3004062,0.22,-302.756,105.45,1,4929,34,90
302,32.5950171,129.3004024,0.22,-302.755,104.45,1,4929,34,90
303,32.5950171,129.3003985,0.22,-302.754,103.45,1,4929,34,90
304,32.5950172,129.3003947,0.22,-302.753,102.45,1,4929,34,90
305,32.5950172,129.3003908,0.22,-302.752,101.45,1,4929,34,90
306,32.5950172,129.300387,0.22,-302.751,100.45,1,4929,34,90
307,32.5950172,129.3003831,0.22,-302.75,99.45,1,4929,34,90
308,32.5950172,129.3003793,0.22,-302.749,98.45,1,4929,34,90
309,32.5950172,129.3003754,0.22,-302.748,97.45,1,4929,34,90
310,32.5950172,129.3003716,0.22,-302.747,96.45,1,4929,34,90
311,32.5950172,129.3003677,0.22,-302.746,95.45,1,4929,34,90
312,32.5950172,129.3003639,0.22,-302.745,94.45,1,4929,34,90
313,32.5950172,129.30036,0.22,-302.744,93.45,1,4929,34,90
314,32.5950172,129.3003562,0.22,-302.743,92.45,1,4929,34,90
315,32.5950172,129.3003523,0.22,-302.742,91.45,1,4929,34,90
316,32.5950172,129.3003485,0.22,-302.741,90.45,1,4929,34,90
317,32.5950172,129.3003446,0.22,-302.74,89.45,1,4929,34,90
318,32.5950172,129.3003408,0.22,-302.739,88.45,1,4929,34,90
319,32.5950172,129.3003369,0.22,-302.738,87.45,1,4929,34,90
320,32.5950172,129.300333,0.22,-302.737,86.45,1,4929,34,90
321,32.5950172,129.3003292,0.22,-302.736,85.45,1,4929,34,90
322,32.5950172,129.3003253,0.22,-302.735,84.45,1,4929,34,90
323,32.5950172,129.3003215,0.22,-302.734,83.45,1,4929,34,90
324,32.5950172,129.3003176,0.22,-302.733,82.45,1,4929,34,90
325,32.5950172,129.3003138,0.22,-302.732,81.45,1,4929,34,90
326,32.5950172,129.3003099,0.22,-302.731,80.45,1,4929,34,90
327,32.5950172,129.3003061,0.22,-302.73,79.45,1,4929,34,90
328,32.5950172,129.3003022,0.22,-302.729,78.45,1,4929,34,90
329,32.5950172,129.3002984,0.22,-302.728,77.45,1,4929,34,90
330,32.5950172,129.3002945,0.22,-302.727,76.45,1,4929,34,90
331,32.5950172,129.3002907,0.22,-302.726,75.45,1,4929,34,90
332,32.5950172,129.3002868,0.22,-302.725,74.45,1,4929,34,90
333,32.5950172,129.300283,0.22,-302.724,73.45,1,4929,34,90
334,32.5950173,129.3002791,0.22,-302.723,72.45,1,4929,34,90
335,32.5950173,129.3002753,0.22,-302.722,71.45,1,4929,34,90
336,32.5950173,129.3002714,0.22,-302.721,70.45,1,4929,34,90
337,32.5950173,129.3002676,0.22,-302.72,69.45,1,4929,34,90
338,32.5950173,129.3002637,0.22,-302.719,68.45,1,4929,34,90
339,32.5950173,129.3002598,0.22,-302.718,67.45,1,4929,34,90
340,32.5950173,129.300256,0.22,-302.717,66.45,1,4929,34,90
341,32.5950173,129.3002521,0.22,-302.716,65.45,1,4929,34,90
342,32.5950173,129.3002483,0.22,-302.715,64.45,1,4929,34,90
343,32.5950173,129.3002444,0.22,-302.714,63.45,1,4929,34,90
344,32.5950173,129.3002406,0.22,-302.713,62.45,1,4929,34,90
345,32.5950173,129.3002367,0.22,-302.712,61.45,1,4929,34,90
346,32.5950173,129.3002329,0.22,-302.711,60.45,1,4929,34,90
347,32.5950173,129.300229,0.22,-302.71,59.45,1,4929,34,90
348,32.5950173,129.3002252,0.22,-302.709,58.45,1,4929,34,90
349,32.5950173,129.3002213,0.22,-302.708,57.45,1,4929,34,90
350,32.5950173,129.3002175,0.22,-302.707,56.45,1,4929,34,90
351,32.5950173,129.3002136,0.22,-302.706,55.45,1,4929,34,90
352,32.5950173,129.3002098,0.22,-302.705,54.45,1,4929,34,90
353,32.5950173,129.3002059,0.22,-302.704,53.45,1,4929,34,90
354,32.5950173,129.3002021,0.22,-302.703,52.45,1,4929,34,90
355,32.5950173,129.3001982,0.22,-302.702,51.45,1,4929,34,90
356,32.5950173,129.3001944,0.22,-302.701,50.45,1,4929,34,90
357,32.5950173,129.3001905,0.22,-302.7,49.45,1,4929,34,90
358,32.5950173,129.3001867,0.22,-302.699,48.45,1,4929,34,90
359,32.5950173,129.3001828,0.22,-302.698,47.45,1,4929,34,90
360,32.5950173,129.3001789,0.22,-302.697,46.45,1,4929,34,90
361,32.5950173,129.3001751,0.22,-302.696,45.45,1,4929,34,90
362,32.5950173,129.3001712,0.22,-302.695,44.45,1,4929,34,90
363,32.5950173,129.3001674,0.22,-302.694,43.45,1,4929,34,90
364,32.5950173,129.3001635,0.22,-302.693,42.45,1,4929,34,90
365,32.5950174,129.3001597,0.22,-302.692,41.45,1,4929,34,90
366,32.5950174,129.3001558,0.22,-302.691,40.45,1,4929,34,90
367,32.5950174,129.300152,0.22,-302.69,39.45,1,4929,34,90
368,32.5950174,129.3001481,0.22,-302.689,38.45,1,4929,34,90
369,32.5950174,129.3001443,0.22,-302.688,37.45,1,4929,34,90
370,32.5950174,129.3001404,0.22,-302.687,36.45,1,4929,34,90
371,32.5950174,129.3001366,0.22,-302.686,35.45,1,4929,34,90
372,32.5950174,129.3001327,0.22,-302.685,34.45,1,4929,34,90
373,32.5950174,129.3001289,0.22,-302.684,33.45,1,4929,34,90
374,32.5950174,129.300125,0.22,-302.683,32.45,1,4929,34,90
375,32.5950174,129.3001212,0.22,-302.682,31.45,1,4929,34,90
376,32.5950174,129.3001173,0.22,-302.681,30.45,1,4929,34,90
377,32.5950174,129.3001135,0.22,-302.68,29.45,1,4929,34,90
378,32.5950174,129.3001096,0.22,-302.679,28.45,1,4929,34,90
379,32.5950174,129.3001058,0.22,-302.678,27.45,1,4929,34,90
380,32.5950174,129.3001019,0.22,-302.677,26.45,1,4929,34,90
381,32.5950174,129.300098,0.22,-302.676,25.45,1,4929,34,90
382,32.5950174,129.3000942,0.22,-302.675,24.45,1,4929,34,90
383,32.5950174,129.3000903,0.22,-302.674,23.45,1,4929,34,90
384,32.5950174,129.3000865,0.22,-302.673,22.45,1,4929,34,90
385,32.5950174,129.3000826,0.22,-302.672,21.45,1,4929,34,90
386,32.5950174,129.3000788,0.22,-302.671,20.45,1,4929,34,90
387,32.5950174,129.3000749,0.22,-302.67,19.45,1,4929,34,90
388,32.5950174,129.3000711,0.22,-302.669,18.45,1,4929,34,90
389,32.5950174,129.3000672,0.22,-302.668,17.45,1,4929,34,90
390,32.5950174,129.3000634,0.22,-302.667,16.45,1,4929,34,90
391,32.5950174,129.3000595,0.22,-302.666,15.45,1,4929,34,90
392,32.5950174,129.3000557,0.22,-302.665,14.45,1,4929,34,90
393,32.5950174,129.3000518,0.22,-302.664,13.45,1,4929,34,90
394,32.5950174,129.300048,0.22,-302.663,12.45,1,4929,34,90
395,32.5950174,129.3000441,0.22,-302.662,11.45,1,4929,34,90
396,32.5950175,129.3000403,0.22,-302.661,10.45,1,4929,34,90
397,32.5950175,129.3000364,0.22,-302.66,9.45,1,4929,34,90
398,32.5950175,129.3000326,0.22,-302.659,8.45,1,4929,34,90
399,32.5950175,129.3000287,0.22,-302.658,7.45,1,4929,34,90
400,32.5950175,129.3000248,0.22,-302.657,6.45,1,4929,34,90
401,32.5950175,129.300021,0.22,-302.656,5.45,1,4929,34,90
402,32.5950174,129.3000173,0.22,-302.674,4.479,1,4929,34,90
424,32.5950465,129.3007387,0.218,-293.719,191.76,1,4929,34,90
434,32.594998,129.3000197,0.22,-308.642,5.107,1,4929,34,90
435,32.594998,129.3007043,0.22,-308.643,182.821,1,4929,34,90
436,32.5950239,129.3000195,0.22,-300.667,5.05,1,4929,34,90
437,32.5950239,129.3001298,0.22,-300.667,33.695,1,4929,34,90
438,32.5950243,129.3001335,0.22,-300.539,34.652,1,4929,34,90
439,32.5950252,129.3001372,0.22,-300.283,35.609,1,4929,34,90
440,32.5950266,129.3001409,0.22,-299.857,36.566,1,4929,34,90
441,32.5950288,129.3001446,0.22,-299.176,37.523,1,4929,34,90
442,32.5950318,129.3001482,0.22,-298.239,38.48,1,4929,34,90
443,32.5950351,129.3001508,0.22,-297.217,39.153,1,4929,34,90
444,32.5950384,129.3001527,0.22,-296.195,39.628,1,4929,34,90
445,32.5950418,129.3001535,0.22,-295.173,39.848,1,4929,34,90
